('legalized', 'creates')
('burns', 'brain')
('brain', 'mental')
('mental', 'developing')
('developing', 'schizophrenia')
('schizophrenia', 'disorders')
('disorders', 'researchers')
('researchers', 'harvard')
('harvard', 'northwestern')
('northwestern', 'smokers')
('smokers', 'showed')
('showed', 'abnormalities')
('abnormalities', 'shape')
('shape', 'volume')
('volume', 'density')
('density', 'certain')
('certain', 'areas')
('areas', 'hans')
('hans', 'breiter')
('breiter', 'psychiatrist')
('psychiatrist', 'memorial')
('memorial', 'hospital')
('hospital', 'authored')
('authored', 'think')
('think', 'little')
('little', 'shouldn')
('shouldn', 'cause')
('cause', 'doing')
('doing', 'work')
('work', 'directly')
('directly', 'british')
('british', 'psychiatry')
('psychiatry', 'good')
('good', 'evidence')
('evidence', 'taking')
('taking', 'acute')
('acute', 'proportion')
('proportion', 'regular')
('regular', 'survey')
('survey', 'published')
('published', 'experienced')
('experienced', 'panic')
('panic', 'smoking')
('smoking', 'damage')
('damage', 'lung')
('lung', 'tissues')
('tissues', 'shows')
('shows', 'joint')
('joint', 'damaging')
('damaging', 'lungs')
('lungs', 'cigarettes')
('cigarettes', 'contain')
('contain', 'carbon')
('carbon', 'monoxide')
('monoxide', 'tar')
('tar', 'heart')
('heart', 'strokes')
('strokes', 'hours')
('hours', 'immediately')
('immediately', 'vaporization')
('vaporization', 'device')
('device', 'likely')
('likely', 'ingestion')
('ingestion', 'toxic')
('toxic', 'ammonia')
('ammonia', 'known')
('known', 'result')
('result', 'neurobehavioral')
('neurobehavioral', 'ingested')
('ingested', 'vaping')
('vaping', 'irritation')
('irritation', 'nervous')
('nervous', 'commercialized')
('commercialized', 'create')
('create', 'big')
('big', 'industry')
('industry', 'exploits')
('exploits', 'profit')
('profit', 'targets')
('targets', 'similar')
('similar', 'tactics')
('tactics', 'marketed')
('marketed', 'ads')
('ads', 'appealed')
('appealed', 'joe')
('joe', 'camel')
('camel', 'cartoon')
('cartoon', 'character')
('character', 'food')
('food', 'products')
('products', 'colorful')
('colorful', 'sweet')
('sweet', 'branded')
('branded', 'cartoons')
('cartoons', 'attract')
('attract', 'available')
('available', 'kid')
('kid', 'friendly')
('friendly', 'forms')
('forms', 'gummy')
('gummy', 'bears')
('bears', 'lollipops')
('lollipops', 'resemble')
('resemble', 'familiar')
('familiar', 'brands')
('brands', 'buddahfinger')
('buddahfinger', 'keefkat')
('keefkat', 'wrappers')
('wrappers', 'look')
('look', 'butterfinger')
('butterfinger', 'kitkat')
('kitkat', 'mark')
('mark', 'kleiman')
('kleiman', 'policy')
('policy', 'expert')
('expert', 'casual')
('casual', 'aren')
('aren', 'best')
('best', 'customers')
('customers', 'accounting')
('accounting', 'bulk')
('bulk', 'sales')
('sales', 'commercial')
('commercial', 'demands')
('demands', 'maximizing')
('maximizing', 'rosalie')
('rosalie', 'liccardo')
('liccardo', 'pacula')
('pacula', 'senior')
('senior', 'economist')
('economist', 'rand')
('rand', 'corporation')
('corporation', 'account')
('account', 'vast')
('vast', 'majority')
('majority', 'total')
('total', 'sold')
('sold', 'consumed')
('consumed', 'businesses')
('businesses', 'causing')
('causing', 'preventable')
('preventable', 'lost')
('lost', 'productivity')
('productivity', 'workplace')
('workplace', 'incidents')
('incidents', 'employees')
('employees', 'influence')
('influence', 'screened')
('screened', 'positive')
('positive', 'industrial')
('industrial', 'absenteeism')
('absenteeism', 'rates')
('rates', 'tested')
('tested', 'postal')
('postal', 'workers')
('workers', 'paul')
('paul', 'bittner')
('bittner', 'partner')
('partner', 'chair')
('chair', 'labor')
('labor', 'employment')
('employment', 'group')
('group', 'ice')
('ice', 'miller')
('miller', 'firm')
('firm', 'lose')
('lose', 'bigger')
('bigger', 'concern')
('concern', 'employers')
('employers', 'potential')
('potential', 'liability')
('liability', 'gets')
('gets', 'hurt')
('hurt', 'killed')
('killed', 'week')
('week', 'parts')
('parts', 'linked')
('linked', 'motivation')
('motivation', 'irreversible')
('irreversible', 'ways')
('ways', 'long')
('long', 'produce')
('produce', 'dopamine')
('dopamine', 'neurochemical')
('neurochemical', 'considered')
('considered', 'crucial')
('crucial', 'summoning')
('summoning', 'smoked')
('smoked', 'previous')
('previous', 'dedication')
('dedication', 'jobs')
('jobs', 'non')
('non', 'signed')
('signed', 'international')
('international', 'treaties')
('treaties', 'prevent')
('prevent', 'nations')
('nations', 'set')
('set', 'worldwide')
('worldwide', 'controls')
('controls', 'party')
('party', 'agreed')
('agreed', 'limit')
('limit', 'exclusively')
('exclusively', 'purposes')
('purposes', 'legalize')
('legalize', 'adult')
('adult', 'upset')
('upset', 'monitoring')
('monitoring', 'organization')
('organization', 'reconciled')
('reconciled', 'obligation')
('obligation', 'uphold')
('uphold', 'convention')
('convention', 'treaty')
('treaty', 'puts')
('puts', 'position')
('position', 'weakness')
('weakness', 'need')
('need', 'hold')
('hold', 'accountable')
('accountable', 'agreements')
('agreements', 'path')
('path', 'statesâ')
('statesâ', 'strong')
('strong', 'institutions')
('institutions', 'rule')
('rule', 'lawâ')
('lawâ', 'tread')
('tread', 'great')
('great', 'caution')
('caution', 'wells')
('wells', 'bennett')
('bennett', 'fellow')
('fellow', 'security')
('security', 'brookings')
('brookings', 'institution')
('institution', 'john')
('john', 'walsh')
('walsh', 'associate')
('associate', 'latin')
('latin', 'america')
('america', 'opposed')
('opposed', 'major')
('major', 'public')
('public', 'organizations')
('organizations', 'associations')
('associations', 'association')
('association', 'ama')
('ama', 'asam')
('asam', 'child')
('child', 'adolescent')
('adolescent', 'campaigns')
('campaigns', 'imply')
('imply', 'benign')
('benign', 'present')
('present', 'significant')
('significant', 'challenge')
('challenge', 'educating')
('educating', 'risks')
('risks', 'does')
('does', 'support')
('support', 'recommends')
('recommends', 'jurisdictions')
('jurisdictions', 'acted')
('acted', 'cautious')
('cautious', 'adopt')
('adopt', 'learned')
('learned', 'believes')
('believes', 'sale')
('sale', 'environment')
('environment', 'cultivation')
('cultivation', 'deforestation')
('deforestation', 'soil')
('soil', 'erosion')
('erosion', 'habitat')
('habitat', 'destruction')
('destruction', 'river')
('river', 'diversion')
('diversion', 'plants')
('plants', 'require')
('require', 'double')
('double', 'water')
('water', 'needed')
('needed', 'grow')
('grow', 'grapes')
('grapes', 'tomatoes')
('tomatoes', 'rosamond')
('rosamond', 'naylor')
('naylor', 'stanford')
('stanford', 'woods')
('woods', 'rivers')
('rivers', 'streams')
('streams', 'summer')
('summer', 'reduces')
('reduces', 'agriculture')
('agriculture', 'threatens')
('threatens', 'wildlife')
('wildlife', 'species')
('species', 'regardless')
('regardless', 'status')
('status', 'currently')
('currently', 'managing')
('managing', 'impacts')
('impacts', 'doesn')
('doesn', 'indoor')
('indoor', 'requires')
('requires', 'lot')
('lot', 'electricity')
('electricity', 'lighting')
('lighting', 'heating')
('heating', 'ventilation')
('ventilation', 'produces')
('produces', 'greenhouse')
('greenhouse', 'gas')
('gas', 'emissions')
('emissions', 'equal')
('equal', 'cars')
('cars', 'places')
('places', 'burden')
('burden', 'utilities')
